Result,Fighter,KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate
W,Islam Makhachev,1,0,0,750,22,44,0.5,78,114,0.6842105263157895,7,15,0.4666666666666667,9,31,0.2903225806451613,3,3,1.0,10,10,1.0,15,36,0.4166666666666667,6,7,0.8571428571428571,1,1,1.0
L,Ian Machado Garry,0,0,0,34,29,65,0.4461538461538462,89,141,0.6312056737588653,0,0,0.0,7,40,0.175,16,17,0.9411764705882353,6,8,0.75,22,57,0.38596491228070173,7,8,0.875,0,0,0.0
W,Mackenzie Dern,0,1,0,648,65,168,0.3869047619047619,122,239,0.5104602510460251,4,6,0.6666666666666666,40,140,0.2857142857142857,14,17,0.8235294117647058,11,11,1.0,55,153,0.35947712418300654,2,2,1.0,8,13,0.6153846153846154
L,Gillian Robertson,0,0,2,407,49,131,0.37404580152671757,136,237,0.5738396624472574,1,3,0.3333333333333333,37,107,0.34579439252336447,9,19,0.47368421052631576,3,5,0.6,24,100,0.24,8,10,0.8,17,21,0.8095238095238095
W,Jalin Turner,1,0,0,5,9,14,0.6428571428571429,9,14,0.6428571428571429,0,0,0.0,8,11,0.7272727272727273,1,2,0.5,0,1,0.0,1,4,0.25,0,0,0.0,8,10,0.8
L,Kaue Fernandes,0,0,0,0,2,4,0.5,2,4,0.5,0,0,0.0,1,2,0.5,0,1,0.0,1,1,1.0,2,4,0.5,0,0,0.0,0,0,0.0
L,Mansur Abdul-Malik,0,0,0,37,34,67,0.5074626865671642,34,68,0.5,1,1,1.0,19,48,0.3958333333333333,9,11,0.8181818181818182,6,8,0.75,22,45,0.4888888888888889,9,14,0.6428571428571429,3,8,0.375
W,Dustin Stoltzfus,0,1,0,182,43,70,0.6142857142857143,61,92,0.6630434782608695,2,7,0.2857142857142857,25,48,0.5208333333333334,12,15,0.8,6,7,0.8571428571428571,15,32,0.46875,14,22,0.6363636363636364,14,16,0.875
L,Edson Barboza,0,0,0,0,30,64,0.46875,30,64,0.46875,0,0,0.0,13,42,0.30952380952380953,11,16,0.6875,6,6,1.0,29,63,0.4603174603174603,1,1,1.0,0,0,0.0
W,Esteban Ribovics,0,0,0,19,63,126,0.5,70,133,0.5263157894736842,0,0,0.0,41,101,0.40594059405940597,10,11,0.9090909090909091,12,14,0.8571428571428571,49,107,0.45794392523364486,14,18,0.7777777777777778,0,1,0.0
W,Chidi Njokuani,0,0,0,12,155,229,0.6768558951965066,159,233,0.6824034334763949,0,1,0.0,51,100,0.51,56,76,0.7368421052631579,48,53,0.9056603773584906,149,222,0.6711711711711712,6,7,0.8571428571428571,0,0,0.0
L,Joel Alvarez,0,0,0,26,74,164,0.45121951219512196,76,166,0.4578313253012048,0,0,0.0,37,120,0.30833333333333335,19,25,0.76,18,19,0.9473684210526315,72,161,0.4472049689440994,2,3,0.6666666666666666,0,0,0.0
W,Charles Johnson,0,1,0,13,66,142,0.4647887323943662,70,146,0.4794520547945205,0,5,0.0,40,106,0.37735849056603776,14,22,0.6363636363636364,12,14,0.8571428571428571,63,136,0.4632352941176471,1,2,0.5,2,4,0.5
L,Eduardo Chapolin,1,0,0,72,55,131,0.4198473282442748,59,137,0.4306569343065693,1,4,0.25,22,84,0.2619047619047619,13,20,0.65,20,27,0.7407407407407407,49,122,0.4016393442622951,2,3,0.6666666666666666,4,6,0.6666666666666666
W,Donte Johnson,1,0,0,0,11,31,0.3548387096774194,11,31,0.3548387096774194,0,0,0.0,9,29,0.3103448275862069,1,1,1.0,1,1,1.0,9,28,0.32142857142857145,0,1,0.0,2,2,1.0
