KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate,Target
1,0,0,716,-7,-21,0.05384615384615382,-11,-27,0.05300485255692422,7,15,0.4666666666666667,2,-9,0.11532258064516132,-13,-14,0.05882352941176483,4,2,0.25,-7,-21,0.030701754385965008,-1,-1,-0.017857142857142905,1,1,1.0,1
0,1,-2,241,16,37,0.012858960378044404,-14,2,-0.06337941140123227,3,3,0.3333333333333333,3,33,-0.060080106809078715,5,-2,0.34984520123839014,8,6,0.4,31,53,0.11947712418300649,-6,-8,0.19999999999999996,-9,-8,-0.19413919413919412,1
1,0,0,5,7,10,0.1428571428571429,7,10,0.1428571428571429,0,0,0.0,7,9,0.2272727272727273,1,1,0.5,-1,0,-1.0,-1,0,-0.25,0,0,0.0,8,10,0.8,1
0,-1,0,-145,-9,-3,-0.10682302771855012,-27,-24,-0.1630434782608695,-1,-6,0.7142857142857143,-6,0,-0.12500000000000006,-3,-4,0.018181818181818188,0,1,-0.1071428571428571,7,13,0.020138888888888873,-5,-8,0.006493506493506551,-11,-8,-0.5,0
0,0,0,-19,-33,-62,-0.03125,-40,-69,-0.05756578947368418,0,0,0.0,-28,-59,-0.09641678453559643,1,5,-0.22159090909090917,-6,-8,0.1428571428571429,-20,-44,0.0023735350838154923,-13,-17,0.2222222222222222,0,-1,0.0,0
0,0,0,-14,81,65,0.22563638300138467,83,67,0.22457210817519008,0,1,0.0,14,-20,0.20166666666666672,37,51,-0.023157894736842155,30,34,-0.04170804369414105,77,61,0.2239662022270718,4,4,0.19047619047619047,0,0,0.0,1
-1,1,0,-59,11,11,0.0449414041500914,11,9,0.048795120487951205,-1,1,-0.25,18,22,0.11545372866127579,1,2,-0.013636363636363669,-8,-13,0.1164021164021164,14,14,0.061595949855351995,-1,-1,-0.16666666666666663,-2,-2,-0.16666666666666663,1
1,0,0,-3,5,16,-0.04516129032258065,5,16,-0.04516129032258065,0,-1,0.0,5,16,0.0026525198938991967,0,0,0.0,0,0,0.0,4,14,-0.0357142857142857,-1,0,-1.0,2,2,1.0,1
0,0,0,-181,-19,-14,-0.10089199614271938,-48,-52,-0.15378524611797822,0,-1,0.0,-22,-16,-0.14358974358974352,5,4,0.33333333333333337,-2,-2,-0.04195804195804198,4,11,-7.920164739427804e-05,-1,-1,-0.050000000000000044,-22,-24,-0.9166666666666666,0
-2,0,0,46,-56,-59,-0.3678571428571429,-55,-57,-0.35862068965517235,1,1,1.0,-32,-33,-0.35611702127659584,-13,-15,0.09999999999999998,-11,-11,-0.18333333333333324,-55,-59,-0.3830561330561331,0,1,-0.5,-1,-1,-0.16666666666666663,0
0,1,0,-326,17,29,-0.14619883040935677,41,54,-0.05128205128205132,-1,-2,-0.3333333333333333,18,31,-0.07843137254901955,0,0,0.0,-1,-2,0.19999999999999996,4,11,-0.2142857142857143,2,3,0.6666666666666666,11,15,-0.23529411764705888,1
0,1,1,-357,-10,10,-0.38730158730158737,-39,-26,-0.31600084548721213,-3,-5,0.33333333333333337,-8,13,-0.4077519379844961,-2,-3,0.19999999999999996,0,0,0.0,9,30,-0.11111111111111116,0,0,0.0,-19,-20,-0.95,1
0,1,0,-102,-7,-14,-0.1166666666666667,-17,-25,-0.2714285714285714,-1,0,-1.0,-5,-9,-0.1210526315789473,-1,-4,-0.25,-1,-1,-1.0,-3,-8,-0.033333333333333326,-3,-4,-0.75,-1,-2,-0.5,0
0,0,0,59,43,28,0.1405638852672752,11,-3,0.05024977960622978,3,6,0.1111111111111111,44,40,0.15470508258844629,4,-4,0.2246117084826762,-5,-8,0.30000000000000004,33,19,0.12159420958001016,5,4,0.28888888888888886,5,5,0.2777777777777778,1
-1,0,0,-9,-5,-4,-0.8333333333333334,-5,-4,-0.8333333333333334,0,1,0.0,-4,-3,-0.8,0,0,0.0,-1,-1,-1.0,-2,-1,-0.6666666666666666,-1,-1,-1.0,-2,-2,-1.0,0
0,0,0,-441,-25,-25,-0.08799999999999997,-131,-131,-0.21763874160480734,-2,-4,-0.3333333333333333,-6,-8,-0.0326402861614129,-5,0,-0.18518518518518512,-14,-17,0.11111111111111116,0,5,-0.029761904761904767,-20,-25,0.1724137931034483,-5,-5,-1.0,0
-2,0,0,106,-108,-164,-0.1632134635230611,-128,-184,-0.1270143307367545,0,8,0.0,-113,-168,-0.3709150326797386,0,-3,0.15865384615384615,5,7,-0.25,-74,-117,-0.1868699286943693,-7,-11,0.13815789473684215,-27,-36,-0.75,0
1,1,0,114,21,33,0.013399323998068646,62,77,0.04541531823085221,0,1,0.0,26,37,0.09980237154150207,-4,-3,-0.11038961038961037,-1,-1,0.0,-9,-3,-0.11688311688311692,10,15,-0.20833333333333337,20,21,0.9090909090909092,1
2,0,0,5,34,45,0.12571428571428567,34,45,0.12571428571428567,-1,-1,-1.0,15,19,0.3848484848484849,10,10,0.20833333333333337,9,16,-0.29166666666666663,20,31,0.04714285714285704,2,2,1.0,12,12,1.0,1
0,-1,0,-50,1,-3,0.4642857142857143,-4,-8,0.16666666666666663,-1,-1,-0.5,-1,-5,0.2142857142857143,0,0,0.0,2,2,1.0,2,-2,0.5833333333333334,-1,-1,-1.0,0,0,0.0,0
1,0,0,-62,21,0,0.1764705882352941,-37,-72,0.039656377984217395,0,-8,0.8888888888888888,2,-22,0.1203703703703704,1,-2,0.2698412698412699,18,24,0.23076923076923073,21,7,0.1923076923076923,6,2,0.3125,-6,-9,0.2142857142857143,1
1,0,0,4,5,3,0.14857142857142847,5,3,0.14857142857142847,0,0,0.0,7,4,0.2495238095238096,-1,-1,-0.5,-1,0,-0.5,1,-1,0.05333333333333329,0,0,0.0,4,4,1.0,1
0,1,0,276,17,26,0.15656565656565652,27,40,0.04285714285714293,2,4,0.5,17,24,0.36111111111111116,3,5,-0.2857142857142857,-3,-3,-0.75,1,-5,0.23295454545454541,3,3,0.0,13,28,0.4642857142857143,1
0,1,-1,320,-50,-66,-0.08935227702447202,-23,-33,-0.00953223270440251,4,7,0.5714285714285714,-23,-39,-0.02716049382716046,-24,-22,-0.4144736842105263,-3,-5,0.09999999999999998,-39,-46,-0.1050609432962375,-6,-9,0.0,-5,-11,0.46153846153846156,0
1,0,0,4,10,11,0.4523809523809524,10,11,0.4523809523809524,0,0,0.0,9,9,0.8181818181818182,1,2,0.5,0,0,0.0,4,3,0.5,0,0,0.0,6,8,0.75,1
0,0,0,-60,-32,-39,-0.33229813664596286,-30,-36,-0.22050290135396522,0,-1,0.0,-21,-25,-0.5333333333333332,-1,-3,0.4,-10,-11,-0.9090909090909092,-12,-17,-0.08181818181818179,0,2,0.0,-20,-24,-0.8333333333333334,0
0,0,0,191,38,7,0.2662448700410397,46,16,0.2788514911439673,0,-2,0.0,10,-10,0.1418439716312057,19,7,0.4978213507625272,9,10,0.01388888888888884,37,8,0.26804443616955254,1,-1,0.33333333333333337,0,0,0.0,1
0,-2,-1,-97,0,-2,0.6666666666666667,-12,-14,0.1333333333333333,1,2,-0.33333333333333337,0,-1,0.0,-1,-2,-0.5,1,1,1.0,0,-2,0.6666666666666667,0,0,0.0,0,0,0.0,0
-1,0,0,-22,-23,-24,-0.3333333333333333,-29,-30,-0.37499999999999994,0,0,0.0,-22,-23,-0.3727272727272728,0,0,0.0,-1,-1,-1.0,-1,2,-0.0719696969696969,0,0,0.0,-22,-26,-0.8461538461538461,0
0,-1,0,-40,1,8,-0.13875598086124397,1,7,-0.11153846153846153,0,0,0.0,4,11,0.134920634920635,1,1,1.0,-4,-4,-1.0,1,9,-0.22222222222222227,0,1,0.0,0,-2,0.0,0
-1,0,0,-62,0,-23,0.11055381400208997,-12,-40,0.07315340909090906,0,0,0.0,-2,-22,0.08018961090262683,7,6,0.1428571428571429,-5,-7,0.16666666666666663,2,-19,0.11380090497737566,1,1,0.0,-3,-5,-0.6,0
-2,0,0,-15,-8,-14,-0.014545454545454639,-12,-18,-0.0752351097178684,0,1,0.0,-9,-15,-0.06521739130434778,0,0,0.0,1,1,1.0,2,0,0.18181818181818182,0,0,0.0,-10,-14,-0.7142857142857143,0
-1,2,1,174,15,45,-0.02400960384153661,44,86,0.042841732162120505,-2,-7,0.625,25,58,0.041666666666666685,-5,-7,-0.20512820512820512,-5,-6,-0.018181818181818188,5,36,-0.08045977011494249,-3,-6,-0.05357142857142849,13,15,0.8125,1
0,-2,0,-264,2,15,-0.07774066201032492,1,11,-0.05738738738738747,-4,-12,-0.3333333333333333,3,16,-0.07570621468926553,2,1,0.11818181818181828,-3,-2,-0.33333333333333337,20,36,0.03515889114266407,-4,-5,0.1428571428571429,-14,-16,-0.875,0
0,0,0,244,73,85,0.6114599686028257,121,151,0.28035982008995497,1,1,1.0,70,82,0.6725317693059628,3,3,0.30000000000000004,0,0,0.0,6,2,0.4166666666666667,0,0,0.0,67,83,-0.19047619047619047,1
1,0,0,0,8,-9,0.2676282051282051,8,-9,0.2676282051282051,0,-2,0.0,7,-7,0.28831417624521083,2,-1,0.24545454545454548,-1,-1,-1.0,4,-15,0.2666666666666667,4,6,0.22222222222222227,0,0,0.0,1
1,0,0,2,2,-2,0.18055555555555558,2,-2,0.18055555555555558,0,0,0.0,6,1,0.4487179487179488,0,0,0.0,-4,-3,-0.5,-2,-8,0.15555555555555556,2,2,1.0,2,4,0.5,1
0,-1,0,-26,5,6,0.04616619831393015,3,4,0.022718521370812483,-1,-2,-0.5,4,8,0.022883295194508046,1,0,1.0,0,-2,0.25,5,7,0.03691550451189507,0,-1,0.0,0,0,0.0,0
0,2,0,506,15,50,-0.14117151285292878,111,165,0.020972644376899607,2,4,0.5,17,42,0.2063492063492063,23,35,-0.08333333333333337,-25,-27,-0.07655502392344493,5,35,-0.17006802721088438,4,4,1.0,6,11,0.5454545454545454,1
