Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
W,Islam Makhachev,1,22 of 44,50%,78 of 114,7 of 15,46%,0,0,12:30,9 of 31,3 of 3,10 of 10,15 of 36,6 of 7,1 of 1
L,Ian Machado Garry,0,29 of 65,44%,89 of 141,0 of 0,---,0,0,0:34,7 of 40,16 of 17,6 of 8,22 of 57,7 of 8,0 of 0
W,Mackenzie Dern,0,65 of 168,38%,122 of 239,4 of 6,66%,1,0,10:48,40 of 140,14 of 17,11 of 11,55 of 153,2 of 2,8 of 13
L,Gillian Robertson,0,49 of 131,37%,136 of 237,1 of 3,33%,0,2,6:47,37 of 107,9 of 19,3 of 5,24 of 100,8 of 10,17 of 21
W,Jalin Turner,1,9 of 14,64%,9 of 14,0 of 0,---,0,0,0:05,8 of 11,1 of 2,0 of 1,1 of 4,0 of 0,8 of 10
L,Kaue Fernandes,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00,1 of 2,0 of 1,1 of 1,2 of 4,0 of 0,0 of 0
L,Mansur Abdul-Malik,0,34 of 67,50%,34 of 68,1 of 1,100%,0,0,0:37,19 of 48,9 of 11,6 of 8,22 of 45,9 of 14,3 of 8
W,Dustin Stoltzfus,0,43 of 70,61%,61 of 92,2 of 7,28%,1,0,3:02,25 of 48,12 of 15,6 of 7,15 of 32,14 of 22,14 of 16
L,Edson Barboza,0,30 of 64,46%,30 of 64,0 of 0,---,0,0,0:00,13 of 42,11 of 16,6 of 6,29 of 63,1 of 1,0 of 0
W,Esteban Ribovics,0,63 of 126,50%,70 of 133,0 of 0,---,0,0,0:19,41 of 101,10 of 11,12 of 14,49 of 107,14 of 18,0 of 1
W,Chidi Njokuani,0,155 of 229,67%,159 of 233,0 of 1,0%,0,0,0:12,51 of 100,56 of 76,48 of 53,149 of 222,6 of 7,0 of 0
L,Joel Alvarez,0,74 of 164,45%,76 of 166,0 of 0,---,0,0,0:26,37 of 120,19 of 25,18 of 19,72 of 161,2 of 3,0 of 0
W,Charles Johnson,0,66 of 142,46%,70 of 146,0 of 5,0%,1,0,0:13,40 of 106,14 of 22,12 of 14,63 of 136,1 of 2,2 of 4
L,Eduardo Chapolin,1,55 of 131,41%,59 of 137,1 of 4,25%,0,0,1:12,22 of 84,13 of 20,20 of 27,49 of 122,2 of 3,4 of 6
W,Donte Johnson,1,11 of 31,35%,11 of 31,0 of 0,---,0,0,0:00,9 of 29,1 of 1,1 of 1,9 of 28,0 of 1,2 of 2
L,Eric McConico,0,6 of 15,40%,6 of 15,0 of 1,0%,0,0,0:03,4 of 13,1 of 1,1 of 1,5 of 14,1 of 1,0 of 0
L,Vicente Luque,0,46 of 122,37%,50 of 127,0 of 1,0%,1,0,0:44,31 of 104,7 of 7,8 of 11,43 of 118,3 of 4,0 of 0
W,Tresean Gore,0,65 of 136,47%,98 of 179,0 of 2,0%,1,0,3:45,53 of 120,2 of 3,10 of 13,39 of 107,4 of 5,22 of 24
L,Rafael Tobias,0,13 of 56,23%,14 of 58,1 of 1,100%,0,0,0:55,5 of 47,5 of 5,3 of 4,11 of 52,1 of 2,1 of 2
W,Lucas Fernando,2,69 of 115,60%,69 of 115,0 of 0,---,0,0,0:09,37 of 80,18 of 20,14 of 15,66 of 111,1 of 1,2 of 3
W,Neil Magny,0,24 of 38,63%,61 of 78,0 of 1,0%,1,1,0:59,20 of 34,1 of 1,3 of 3,9 of 18,2 of 3,13 of 17
L,Ramiz Brahimaj,0,7 of 9,77%,20 of 24,1 of 3,33%,0,1,6:25,2 of 3,1 of 1,4 of 5,5 of 7,0 of 0,2 of 2
W,Jeremiah Wells,0,16 of 45,35%,28 of 57,1 of 1,100%,1,1,0:23,14 of 43,2 of 2,0 of 0,16 of 45,0 of 0,0 of 0
L,Myktybek Orolbai,0,26 of 35,74%,67 of 83,4 of 6,66%,0,0,6:20,22 of 30,4 of 5,0 of 0,7 of 15,0 of 0,19 of 20
L,Mateusz Gamrot,0,3 of 10,30%,3 of 10,0 of 1,0%,2,0,0:20,3 of 10,0 of 0,0 of 0,3 of 10,0 of 0,0 of 0
W,Quillan Salkilld,0,10 of 24,41%,20 of 35,1 of 1,100%,1,0,2:02,8 of 19,1 of 4,1 of 1,6 of 18,3 of 4,1 of 2
W,Diego Ferreira,0,116 of 236,49%,124 of 246,4 of 9,44%,0,0,2:47,94 of 207,20 of 27,2 of 2,101 of 218,8 of 9,7 of 9
L,Billy Quarantillo,0,73 of 208,35%,113 of 249,1 of 3,33%,0,0,1:48,50 of 167,16 of 31,7 of 10,68 of 199,3 of 5,2 of 4
